"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1626218","20616682"
"2","Total No. of patients tested Positive","23287","783815"
"3","No. of patients discharged","22502","762776"
"4","Total Deaths reported","179","20485"
"5","Sample collected on the day","","4889"
"6","Test conducted on the day","","4848"
"7","Positive cases on the day","","60"
"8","Number of active Cases","","554"
"9","No. of Patients on oxygen support","","28"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218867"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117897"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211875"
"18","Frontline Workers vaccinated with 2nd dose on the day","","21"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018992"
"20","Above 45 Vaccinated with 1st dose on the day","","116"
"21","Total Above 45 Vaccinated with 1st dose","","8345163"
"22","Above 45 Vaccinated with 2nd dose on the day","","850"
"23","Total Above 45 Vaccinated with 2nd dose","","7644074"
"24","18-44 years age group Vaccinated with 1st dose on the day","","324"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12655074"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2155"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10673468"
"28","15-17 years age group Vaccinated with 1st dose on the day","","114"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112231"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","563"
"31","Total 15-17 years age group Vaccinated with 2nddose","","854398"
"32","12-14 years age group Vaccinated with 1st dose on the day","","807"
"33","Total 12-14 years age group Vaccinated with 1st dose","","668903"
"34","12-14 years age group Vaccinated with 2nddose on the day","","908"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","466880"
"36","Precautionary dose given on the day","","7630"
"37","Total Precautionary dose given","","1654247"
"38","Total Vaccination 1st dose on the day","","443"
"39","Total Vaccination 2nd dose on the day","","3030"
"40","Total Vaccination 1st and 2nd dose on the day","","3473"
