"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228369","222167","5887","315"
"12","Nashik","475812","466185","8915","712"
"13","Ahmednagar","379203","371483","7245","475"
"14","Jalgaon","150006","147189","2762","55"
"15","Nandurbar","46775","45759","963","53"
"16","Dhule","51166","50376","670","120"
"17","Aurangabad","177986","173384","4288","314"
"18","Jalna","67180","65808","1224","148"
"19","Beed","109472","106523","2885","64"
"20","Latur","105614","102925","2489","200"
"21","Parbhani","58678","57367","1279","32"
"22","Hingoli","22369","21783","515","71"
"23","Nanded","102949","100201","2704","44"
"24","Osmanabad","75844","73473","2139","232"
"25","Amravati","106478","104731","1625","122"
"26","Akola","66718","65164","1471","83"
"27","Washim","46891","46053","641","197"
"28","Buldhana","92639","91638","837","164"
"29","Yavatmal","82367","80447","1820","100"
"30","Nagpur","581577","570870","9215","1492"
"31","Wardha","66009","64510","1408","91"
"32","Bhandara","68678","67325","1142","211"
"33","Gondia","45613","44951","587","75"
"34","Chandrapur","99318","97608","1595","115"
