"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22376","","5215","","27594",""
"2","Total Active Cases","404 
(1.8%)","","119 
(2.3%)","","523 
(1.9%)",""
"3","Total Cured/ Discharged","21804 
(97.4%)","","5040                                  
(96.6%)","","(97.3%)",""
"4","Total Died","168 
(0.75%)","","59 
(1.1%)","","227 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","5","","22",""
"6","Total Positive cases in Home Isolation","237","","114","","351",""
"7","COVID Care Centre","133","","00","","133",""
"8","Facility Isolation","17","","00","","17",""
"9","No. of Samples Tested (Today)","878","","375","","1253",""
"10","No. of Samples Positive (Today)","43","","15","","58",""
"11","No. of Samples Negative (Today)","833","","360","","1193",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","756 
        00 
        00 
        53 
       809"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(14/01/2022)","","Test Done Today 
(15/02/2022)","","Cumulative"
"","","a)  RTPCR","290653","","1143","","291796"
"","","b)  TRUENAT","11978","","23","","12001"
"","","c)  RAT","345380","","83","","345463"
"","","d)  CBNAAT","724","","04","","728"
"","","TOTAL","648735","","1253","","649988"
