"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","310"
"2","Number of persons tested positive today in Tamil Nadu","52"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","53"
"3","Total Number of persons tested positive till date","34,53,500"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,214/ 
6,60,36,333@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,204/ 
6,48,59,605"
"6","No. of Male / Female / Transgender tested positive today","30/23/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,494/14,37,968/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334$ (69 Govt+ 
265#Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","29/ 
34,15,165"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
