"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23078","","5284","","28362",""
"2","Total Active Cases","48 
(0.2%)","","01 
(0.02%)","","49 
(0.17%)",""
"3","Total Cured/Discharged","22862 
(99.06%)","","5223 
(98.8%)","","28085 
(99.0%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","00","","04",""
"6","Total Positive cases in Home Isolation","42","","01","","43",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","362","","11","","373",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","353","","11","","364",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","61 
00 
51 
00 
112"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(25/06/2022)","","Test Done Today 
(26/06/2022)","","Cumulative"
"","","a)RTPCR","326036","","273","","326309"
"","","b)TRUENAT","14308","","26","","14334"
"","","c)RAT","350331","","74","","350405"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","691780","","373","","692153"
