"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,173"
"2","Number of persons tested positive today in Tamil Nadu","94"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 1"
"","Total","95"
"3","Total Number of persons tested positive till date","34,51,910"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","41,933/ 
6,50,06,472@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","41,859/ 
6,38,30,562"
"6","No. of Male / Female / Transgender tested positive today","48/47/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,706/14,37,166/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","223/ 
34,12,714"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,023"
