"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22959","","5279","","28238",""
"2","Total Active Cases","10 
(0.04%)","","03 
(0.06%)","","13 
(0.05%)",""
"3","Total Cured/Discharged","22781 
(99.2%)","","5216 
(98.8%)","","27997 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","07","","03","","10",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","97","","33","","130",""
"10","No. of Samples Positive (Today)","00","","01","","01",""
"11","No. of Samples Negative (Today)","97","","32","","129",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
00 
00 
17 
71"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(12/04/2022)","","Test Done Today 
(13/04/2022)","","Cumulative"
"","","a)RTPCR","318056","","93","","318149"
"","","b)TRUENAT","13274","","19","","13293"
"","","c)RAT","347900","","18","","347918"
"","","d)  CBNAAT","1076","","00","","1076"
"","","TOTAL","680306","","130","","680436"
