"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 24.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","2186","",""
"","","2","Total Discharges","3994823","",""
"","","3","Today's Tests Conducted","28034","",""
"","","4","Total Tests Conducted","68463429","",""
"","","5","Today’s New Cases Reported (23.08.2022, 00:00 to 23:59)","1255","",""
"","","6","Total Active Cases","9775","",""
"","","7","Today's Deaths Reported","3","",""
"","","8","Total Covid Deaths","40179","",""
"","","9","Total Positive Cases","4044819","",""
"","","10","Positivity Rate for the day (23.08.2022, 00:00 to 23:59)","4.47%","",""
"","","11","*Weekly Total Positivity Rate","5.40%","",""
"","","12","Case Fatality Rate (CFR) for the day (23.08.2022, 00:00 to 23:59)","0.23%","",""
"","","13","*Weekly Case Fatality Rate","0.24%","",""
"*From 18-08-2022 to 24-08-202 
Particulars 
Today’s 
Cumulative 
3195* 
1408376 
A 
Total Passengers screened at Air ports 
          *Date: 23-08-2022 
 
Date: 24-08-2022 
Page 1 of 11","","","","","",""
