"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22298","","5179","","27477",""
"2","Total Active Cases","403 
(1.8%)","","134 
(2.6%)","","537 
(1.9%)",""
"3","Total Cured/ Discharged","21728 
(97.4%)","","4986                                  
(96.3%)","","(97.2%)",""
"4","Total Died","167 
(0.75%)","","59 
(1.1%)","","226 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","5","","19",""
"6","Total Positive cases in Home Isolation","253","","129","","382",""
"7","COVID Care Centre","117","","00","","117",""
"8","Facility Isolation","19","","00","","19",""
"9","No. of Samples Tested (Today)","914","","212","","1126",""
"10","No. of Samples Positive (Today)","60","","17","","77",""
"11","No. of Samples Negative (Today)","847","","195","","1042",""
"12","Repeat Positive/ Resampling (Today)","07","","00","","07",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","988 
        00 
        00 
        40 
       1028"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(12/01/2022)","","Test Done Today 
(13/02/2022)","","Cumulative"
"","","a)  RTPCR","288483","","1068","","289551"
"","","b)  TRUENAT","11951","","17","","11968"
"","","c)  RAT","345225","","26","","345251"
"","","d)  CBNAAT","702","","15","","717"
"","","TOTAL","646361","","1126","","647487"
