"1","Total Samples taken","17799939"
"2","Sample collected on the day","38588"
"3","Test conducted on the day","37362"
"4","Total No. of patients tested Positive","741185"
"5","No. of patients discharged","697180"
"6","Positive cases on the day","2803"
"7","Number of active Cases","26791"
"8","Total Deaths reported","45645
17214"
"9","No. of Patients on oxygen support","1082"
"10","Patients at critical care Level-3 facilities","326"
"11","Patients who are critical and on ventilator support","96"
"12","Healthcare Workers vaccinated with 1st dose on the day","41"
"13","Total Healthcare Workers vaccinated with 1st dose","*217855"
"14","Frontline Workers vaccinated with 1st dose on the day","69"
"15","Total Frontline Workers vaccinated with 1st dose","*1115110"
"16","Healthcare Workers vaccinated with 2nd dose on the day","638"
"17","Total Healthcare Workers vaccinated with 2nd dose","*191873"
"18","Frontline Workers vaccinated with 2nd dose on the day","4136"
"19","Total Frontline Workers vaccinated with 2nd dose","*921222"
"20","Above 45 Vaccinated with 1st dose on the day","30123"
"21","Total Above 45 Vaccinated with 1st dose","*7409461"
"22","Above 45 Vaccinated with 2nd dose on the day","63478"
"23","Total Above 45 Vaccinated with 2nd dose","*5542291"
"24","18-44 years age group Vaccinated with 1st dose on the day","74864"
"25","Total 18-44 years age group Vaccinated with 1st dose","*10636644"
"26","18-44 years age group Vaccinated with 2nd dose on the day","106894"
"27","Total 18-44 years age group Vaccinated with 2nd dose","*6607292"
"28","15-17 years age group Vaccinated with 1st dose on the day","23188"
"29","Total 15-17 years age group Vaccinated with 1st dose","*404374"
"30","Precautionary dose given on the day","12577"
"31","Total Precautionary dose given","*181679"
"32","Total Vaccination 1st dose on the day","105097"
"33","Total Vaccination 2nd dose on the day","175146"
"34","Total Vaccination 1st and 2nd dose on the day","280243"
