"LABORATORY DATA","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","Genome Sequencing details till today","","","","","","","",""
"","Alpha / B.1.1.7","","","","","155","","",""
"","Beta / B.1.351","","","","","08","","",""
"","Delta / B.1.617.2","","","","","2569","","",""
"","Delta sub-lineages","","","","","949","","",""
"","Kappa / B.1.617.1","","","","","160","","",""
"","ETA / B.1.525","","","","","01","","",""
"","Omicron / B.1.1.529","","","","","19","","",""
"*Data received from SSU.   
 
Date: 20-12-2021 
 Page 2 of 8","","","","","","","","",""
