"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","642650","2","37849","0","410","0","37422","17"
"2","ALWAR","1293591","0","59742","0","307","1","59414","21"
"3","BANSWARA","244279","0","10005","0","104","0","9901","0"
"4","BARAN","170806","0","12000","0","61","0","11936","3"
"5","BARMER","337860","3","15583","0","186","0","15390","7"
"6","BHARATPUR","389916","0","19604","0","260","0","19341","3"
"7","BHILWARA","408242","2","29785","0","156","0","29627","2"
"8","BIKANER","608228","0","40400","0","546","0","39835","19"
"9","BUNDI","182863","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","371086","0","19809","0","139","0","19670","0"
"11","CHURU","329593","0","16723","0","108","0","16614","1"
"12","DAUSA","218144","0","13356","0","62","0","13292","2"
"13","DHOLPUR","230164","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","258010","0","18412","0","131","1","18279","2"
"15","GANGANAGAR","345741","0","19359","0","150","0","19206","3"
"16","HANUMANGARH","397268","0","16075","0","111","1","15944","20"
"17","JAIPUR","2601855","11","188155","0","1971","7","186069","115"
"18","JAISALMER","210182","0","13646","0","66","1","13579","1"
"19","JALORE","384752","0","10068","0","72","0","9995","1"
"20","JHALAWAR","298845","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","391897","0","14821","0","158","0","14654","9"
"22","JODHPUR","1177614","6","112439","0","1103","5","111324","12"
"23","KARAULI","177855","0","7156","0","70","0","7086","0"
