"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","230"
"2","Number of persons tested positive today in Tamil Nadu","24"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","25"
"3","Total Number of persons tested positive till date","34,53,188"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,716/ 
6,58,91,265@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,708/ 
6,47,14,616"
"6","No. of Male / Female / Transgender tested positive today","11/14/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,328/14,37,822/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","23/ 
34,14,933"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
