"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19690","18590","834","266"
"2","Chengalpattu","231001","218216","10149","2636"
"3","Chennai","741216","710980","21240","8996"
"4","Coimbatore","321980","303445","15948","2587"
"5","Cuddalore","73569","70635","2047","887"
"6","Dharmapuri","35709","33489","1938","282"
"7","Dindigul","37195","35178","1355","662"
"8","Erode","130254","122371","7156","727"
"9","Kallakurichi","36325","34857","1254","214"
"10","Kancheepuram","93281","88742","3248","1291"
"11","Kanyakumari","85021","78858","5081","1082"
"12","Karur","29278","27444","1464","370"
"13","Krishnagiri","58896","54510","4017","369"
"14","Madurai","90451","86633","2596","1222"
"15","Mayiladuthurai","26304","25150","832","322"
"16","Nagapattinam","25092","23596","1127","369"
"17","Namakkal","66742","62212","4002","528"
"18","Nilgiris","41127","39096","1806","225"
"19","Perambalur","14353","13707","398","248"
"20","Pudukottai","34101","32402","1276","423"
"21","Ramanathapuram","24460","23163","931","366"
"22","Ranipet","53377","50357","2234","786"
"23","Salem","125099","116210","7141","1748"
"24","Sivagangai","23413","22404","793","216"
"25","Tenkasi","32610","30593","1527","490"
"26","Thanjavur","91273","86566","3675","1032"
"27","Theni","50387","48205","1651","531"
"28","Thirupathur","35512","33170","1711","631"
"29","Thiruvallur","145530","139612","3999","1919"
"30","Thiruvannamalai","66201","62762","2758","681"
"31","Thiruvarur","47393","45181","1744","468"
"32","Thoothukudi","64617","62668","1509","440"
"33","Tirunelveli","62233","59150","2639","444"
"34","Tiruppur","127217","116234","9938","1045"
"35","Trichy","93698","89059","3491","1148"
"36","Vellore","56929","54978","789","1162"
"37","Villupuram","54081","51392","2323","366"
"38","Virudhunagar","56381","53595","2234","552"
"39","Airport Surveillance 
(International)","1234","1210","23","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,04,762","32,28,151","1,38,878","37,733"
