"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24048","","5338","","29386",""
"2","Total Active Cases","11 
(0.05%)","","00 
(0%)","","11 
(0.04%)",""
"3","Total Cured/Discharged","23866 
(99.24%)","","5278 
(98.9%)","","29144 
(99.17%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","08","","00","","08",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","117","","06","","123",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","112","","06","","118",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
00 
01 
00 
43"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(24/10/2022)","","Test Done Today 
(25/10/2022)","","Cumulative"
"","","a)RTPCR","340940","","71","","341011"
"","","b)TRUENAT","15545","","10","","15555"
"","","c)RAT","364218","","42","","364260"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721933","","123","","722056"
