"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,548"
"2","Number of persons tested positive today in Tamil Nadu","640"
"3","Total Number of persons tested positive till date","27,37,335"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,775/ 
5,58,02,775@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,544/ 
5,48,66,723"
"6","No. of Male / Female / Transgender tested positive today","372/268/0"
"7","No. of Male / Female / Transgender tested positive till date","15,97,780/11,39,517/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","316 (69 Govt+ 
247$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","692/ 
26,93,143"
"10","Total number of deaths today/ till date","11(2 Private &  
9 Govt) /36,644)"
