"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1890124*","20880588*"
"2","Total No. of patients tested Positive","24518","785046"
"3","No. of patients discharged","24121","764395"
"4","Total Deaths reported","207","20512"
"5","Sample collected on the day","","5086"
"6","Test conducted on the day","","5020"
"7","Positive cases on the day","","28"
"8","Number of active Cases","","139"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218890"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117951"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211992"
"18","Frontline Workers vaccinated with 2nd dose on the day","","5"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019342"
"20","Above 45 Vaccinated with 1st dose on the day","","37"
"21","Total Above 45 Vaccinated with 1st dose","","8347017"
"22","Above 45 Vaccinated with 2nd dose on the day","","88"
"23","Total Above 45 Vaccinated with 2nd dose","","7653621"
"24","18-44 years age group Vaccinated with 1st dose on the day","","93"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662903"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","333"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10702896"
"28","15-17 years age group Vaccinated with 1st dose on the day","","93"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1115177"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","504"
"31","Total 15-17 years age group Vaccinated with 2nddose","","865618"
"32","12-14 years age group Vaccinated with 1st dose on the day","","391"
"33","Total 12-14 years age group Vaccinated with 1st dose","","681622"
"34","12-14 years age group Vaccinated with 2nddose on the day","","811"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","492302"
"36","Precautionary dose given on the day","","2746"
"37","Total Precautionary dose given","","1802967"
"38","Total Vaccination 1st dose on the day","","131"
"39","Total Vaccination 2nd dose on the day","","427"
"40","Total Vaccination 1st and 2nd dose on the day","","558"
