"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","800568","6","50226","0","449","7","49692","85"
"2","ALWAR","1635529","15","85145","0","321","8","84704","120"
"3","BANSWARA","323847","5","14813","0","106","0","14679","28"
"4","BARAN","244164","0","15324","0","64","0","15256","4"
"5","BARMER","407589","0","21508","0","205","0","21280","23"
"6","BHARATPUR","476511","0","31458","0","274","0","31182","2"
"7","BHILWARA","511439","15","38425","0","162","0","38178","85"
"8","BIKANER","769459","0","50730","0","592","22","50052","86"
"9","BUNDI","237204","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455845","5","29518","0","140","0","29313","65"
"11","CHURU","438874","12","20992","0","115","0","20842","35"
"12","DAUSA","300326","12","15974","0","82","3","15832","60"
"13","DHOLPUR","290948","1","13969","0","49","0","13918","2"
"14","DUNGARPUR","329135","8","25560","0","134","0","25386","40"
"15","GANGANAGAR","423634","2","28196","0","158","0","28031","7"
"16","HANUMANGARH","489893","2","22548","0","115","0","22424","9"
"17","JAIPUR","3502442","80","278610","0","2114","40","275997","499"
"18","JAISALMER","243658","7","17107","0","68","0","16968","71"
"19","JALORE","450815","6","10655","0","78","0","10512","65"
"20","JHALAWAR","420522","4","17805","1","208","0","17573","24"
"21","JHUNJHUNU","494994","0","19161","0","181","0","18980","0"
"22","JODHPUR","1443027","28","142340","0","1164","77","140944","232"
"23","KARAULI","244905","0","8970","0","85","0","8884","1"
