"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,407"
"2","Number of persons tested positive today in Tamil Nadu","539"
"3","Total Number of persons tested positive till date","35,66,101"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","23,231/ 
6,87,98,968@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","23,022/ 
6,75,86,411"
"6","No. of Male / Female / Transgender tested positive today","323/216/0"
"7","No. of Male / Female / Transgender tested positive till date","20,79,597/14,86,466/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","628/ 
35,22,660"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,034"
