"S. No","Subject","Number"
"1","Total Number of people vaccinated on 28th Jan","4,69,969"
"2","First Dose on 28th Jan","59,632"
"3","Second Dose on 28th Jan","3,53,601"
"4","Precaution Dose on 28th Jan","56,736"
"5","Cumulative Vaccination till 28th Jan","11,88,08,627"
"6","Cumulative Vaccination First Dose","6,88,26,171"
"7","Cumulative Vaccination Second Dose","4,92,40,097"
"8","Cumulative Precaution Dose","7,42,359"
"9","Number of CVC (Common Vaccination Centres)","4,587"
"10","Cumulative AEFI cases reported","6,712"
"11","Vaccine wastage","-7%"
