"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1036","8","0","16","165"
"2","ALWAR","1445","42","0","13","407"
"3","BANSWARA","167","5","0","3","37"
"4","BARAN","263","0","0","0","0"
"5","BARMER","80","0","0","0","2"
"6","BHARATPUR","864","37","0","0","450"
"7","BHILWARA","441","22","0","0","93"
"8","BIKANER","1117","1","0","1","44"
"9","BUNDI","83","2","0","7","44"
"10","CHITTORGARH","617","16","0","0","153"
"11","CHURU","419","2","0","0","13"
"12","DAUSA","748","4","0","0","103"
"13","DHOLPUR","242","0","0","0","12"
"14","DUNGARPUR","334","2","0","0","40"
"15","GANGANAGAR","269","2","0","0","6"
"16","HANUMANGARH","477","4","0","0","15"
"17","JAIPUR","2420","73","1","178","1374"
"18","JAISALMER","97","1","0","0","24"
"19","JALORE","185","3","0","0","16"
"20","JHALAWAR","184","4","1","7","24"
"21","JHUNJHUNU","978","0","0","0","7"
"22","JODHPUR","928","12","0","28","142"
"23","KARAULI","349","0","0","0","0"
"24","KOTA","717","1","0","3","54"
"25","NAGAUR","695","26","0","7","104"
"26","PALI","1113","7","0","19","45"
