"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","772844","19761716"
"2","Total No. of patients tested Positive","2311","761382"
"3","No. of patients discharged","1780","743030"
"4","Total Deaths reported","13","17759"
"5","Sample collected on the day","","4325"
"6","Test conducted on the day","","7646"
"7","Positive cases on the day","","81"
"8","Number of active Cases","","593"
"9","No. of Patients on oxygen support","","10"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218663"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117431"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","21"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210523"
"18","Frontline Workers vaccinated with 2nd dose on the day","","81"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013607"
"20","Above 45 Vaccinated with 1st dose on the day","","358"
"21","Total Above 45 Vaccinated with 1st dose","","8322688"
"22","Above 45 Vaccinated with 2nd dose on the day","","5740"
"23","Total Above 45 Vaccinated with 2nd dose","","7389595"
"24","18-44 years age group Vaccinated with 1st dose on the day","","874"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12581977"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","10288"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10119780"
"28","15-17 years age group Vaccinated with 1st dose on the day","","244"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1082823"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1447"
"31","Total 15-17 years age group Vaccinated with 2nddose","","743768"
"32","12-14 years age group Vaccinated with 1st dose on the day","","424"
"33","Total 12-14 years age group Vaccinated with 1st dose","","590545"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1404"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","318938"
"36","Precautionary dose given on the day","","2981"
"37","Total Precautionary dose given","","706270"
"38","Total Vaccination 1st dose on the day","","1238"
"39","Total Vaccination 2nd dose on the day","","16130"
"40","Total Vaccination 1st and 2nd dose on the day","","17368"
