"Total No. of Sample Taken Today","46025"
"Total No. of Positive Cases Detected Today (New Omicron Cases: 0)","9050"
"Total Active COVID-19 Patients","46720"
"Total Positive Cases under Home Isolation (14-01-2022)","40095"
"Total No. of Samples found Positive till date 
Total Omicron Cases:169 (Active – 06, Discharged - 163)","837998 
(M: 510098 
F: 327883 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","781157"
"No. of Deaths","10098"
"Total No. of People Vaccinated today","116375 
(1st Dose: 50179, 
2nd Dose: 59006 
Precaution Dose:7190)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","21985969 (100%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose 
(Achieved 77% for 18yrs above population)","15833825 (77%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","55994"
"Cumulative Coverage of Total COVID-19 Vaccination","37875788"
"COVID-19 Today (15-01-2022) Positivity Rate","18.36%"
"Recovery Rate","93.22%"
"Fatality Rate","1.21%"
"Tests Per Million Population","602074"
