"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21480","","4706","","26186",""
"2","Total Active Cases","724 
(3.4%)","","380 
(8.1%)","","1104 
(4.2%)",""
"3","Total Cured/ Discharged","20590 
(95.9%)","","4267                                  
(90.7%)","","(95%)",""
"4","Total Died","166 
(0.77%)","","59 
(1.3%)","","225 
(0.86%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","12","","30",""
"6","Total Positive cases in Home Isolation","614","","367","","981",""
"7","COVID Care Centre","65","","01","","66",""
"8","Facility Isolation","27","","0","","27",""
"9","No. of Samples Tested (Today)","613","","625","","1238",""
"10","No. of Samples Positive (Today)","77","","88","","165",""
"11","No. of Samples Negative (Today)","536","","537","","1073",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","347 
          00 
      00 
           64 
          411"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(31/01/2022)","","Test Done Today 
(01/02/2022)","","Cumulative"
"","","a)  RTPCR","277194","","1038","","278232"
"","","b)  TRUENAT","11675","","32","","11707"
"","","c)  RAT","343729","","168","","343897"
"","","d)  CBNAAT","353","","00","","353"
"","","TOTAL","632951","","1238","","634189"
