"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22811","","5273","","28084",""
"2","Total Active Cases","135 
(0.59%)","","02 
(0.04%)","","137 
(0.5%)",""
"3","Total Cured/ Discharged","22508 
(98.7%)","","5211                                  
(98.8%)","","(98.7%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","06","","0","","06",""
"6","Total Positive cases in Home Isolation","34","","02","","36",""
"7","COVID Care Centre","94","","00","","94",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","654","","30","","684",""
"10","No. of Samples Positive (Today)","22","","01","","23",""
"11","No. of Samples Negative (Today)","626","","29","","655",""
"12","Repeat Positive/ Resampling (Today)","06","","00","","06",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","383 
        00 
        00 
        09 
       392"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(02/03/2022)","","Test Done Today 
(03/03/2022)","","Cumulative"
"","","a)  RTPCR","304988","","641","","305629"
"","","b)  TRUENAT","12361","","17","","12378"
"","","c)  RAT","346825","","25","","346850"
"","","d)  CBNAAT","829","","01","","830"
"","","TOTAL","665003","","684","","665687"
