"Total No. of Sample Taken Today","5328"
"Total No. of Positive Cases Detected Today","50"
"Total Active COVID-19 Patients","160"
"Total No. of Active Cases under Home Isolation (27-10-2022)","152"
"Total No. of Samples found Positive till date","1055991"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1045098"
"No. of Deaths","10710"
"Total No. of People Vaccinated Today","667 
(1st Dose: 52 
2nd Dose: 180 
Precaution Dose: 435)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23668497 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19816585 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1931986"
"Cumulative Coverage of Total COVID-19 Vaccination","45417068"
"COVID-19 Today (27-10-2022) Positivity Rate","1.15%"
"Recovery Rate","98.97%"
"Fatality Rate","1.01%"
