"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","754205","44","49395","0","440","106","48506","449"
"2","ALWAR","1496020","53","84180","0","319","88","83347","514"
"3","BANSWARA","293111","29","14326","0","106","349","13653","567"
"4","BARAN","213985","21","15134","0","64","24","14904","166"
"5","BARMER","391474","4","21381","0","203","23","20952","226"
"6","BHARATPUR","459176","12","31296","0","272","54","30817","207"
"7","BHILWARA","484423","33","38004","0","161","116","37549","294"
"8","BIKANER","696650","49","49557","0","581","66","48730","246"
"9","BUNDI","218457","7","9703","0","55","3","9621","27"
"10","CHITTORGARH","439103","23","29266","0","140","0","29065","61"
"11","CHURU","403840","25","20575","0","114","67","20297","164"
"12","DAUSA","268619","8","15730","1","77","13","15562","91"
"13","DHOLPUR","267122","10","13696","0","49","23","13534","113"
"14","DUNGARPUR","322045","25","25434","0","134","32","25185","115"
"15","GANGANAGAR","404123","24","27866","1","157","165","27194","515"
"16","HANUMANGARH","469271","16","22313","0","114","37","22103","96"
"17","JAIPUR","3148686","337","270861","1","2103","804","264857","3901"
"18","JAISALMER","237375","5","16940","0","68","62","16637","235"
"19","JALORE","431210","0","10503","0","78","0","10417","8"
"20","JHALAWAR","354107","14","17561","1","206","27","17243","112"
"21","JHUNJHUNU","466687","40","18894","0","179","79","18383","332"
"22","JODHPUR","1347773","105","140203","0","1161","215","138684","358"
"23","KARAULI","224328","23","8817","0","83","30","8602","132"
