"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","787951","3","49771","0","447","3","49301","23"
"2","ALWAR","1609725","5","84634","0","320","9","84267","47"
"3","BANSWARA","318007","0","14765","0","106","0","14659","0"
"4","BARAN","236066","0","15288","0","64","0","15195","29"
"5","BARMER","403568","0","21455","0","205","0","21249","1"
"6","BHARATPUR","476266","0","31451","0","272","0","31179","0"
"7","BHILWARA","507118","0","38183","0","162","0","38019","2"
"8","BIKANER","742878","5","49942","0","586","2","49338","18"
"9","BUNDI","234137","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452074","2","29385","0","140","3","29240","5"
"11","CHURU","434279","0","20836","0","114","0","20717","5"
"12","DAUSA","291863","5","15818","0","80","5","15722","16"
"13","DHOLPUR","284876","4","13948","0","49","5","13888","11"
"14","DUNGARPUR","327740","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422595","0","28149","0","158","0","27985","6"
"16","HANUMANGARH","488426","0","22518","0","114","0","22404","0"
"17","JAIPUR","3418593","24","275896","0","2113","27","273522","261"
"18","JAISALMER","242436","0","17036","0","68","0","16968","0"
"19","JALORE","445211","0","10546","0","78","0","10468","0"
"20","JHALAWAR","395724","1","17728","0","207","3","17511","10"
"21","JHUNJHUNU","492482","0","19158","0","181","0","18977","0"
"22","JODHPUR","1421635","2","141122","0","1164","0","139945","13"
"23","KARAULI","238309","0","8968","0","84","0","8884","0"
