"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","800803","17","50243","0","449","11","49703","91"
"2","ALWAR","1636028","21","85166","0","321","7","84711","134"
"3","BANSWARA","323947","1","14814","0","106","5","14684","24"
"4","BARAN","244290","0","15324","0","64","0","15256","4"
"5","BARMER","407729","1","21509","0","205","6","21286","18"
"6","BHARATPUR","476519","0","31458","0","274","1","31183","1"
"7","BHILWARA","511536","14","38439","0","162","18","38196","81"
"8","BIKANER","769772","9","50739","0","592","22","50074","73"
"9","BUNDI","237231","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455866","2","29520","0","140","22","29335","45"
"11","CHURU","438924","3","20995","0","115","4","20846","34"
"12","DAUSA","300598","11","15985","0","82","3","15835","68"
"13","DHOLPUR","290990","0","13969","0","49","0","13918","2"
"14","DUNGARPUR","329238","0","25560","0","134","10","25396","30"
"15","GANGANAGAR","423639","0","28196","0","158","1","28032","6"
"16","HANUMANGARH","489909","1","22549","0","115","7","22431","3"
"17","JAIPUR","3503809","85","278695","0","2114","102","276099","482"
"18","JAISALMER","243689","3","17110","0","68","8","16976","66"
"19","JALORE","450966","0","10655","0","78","21","10533","44"
"20","JHALAWAR","420983","1","17806","0","208","9","17582","16"
"21","JHUNJHUNU","495018","0","19161","0","181","0","18980","0"
"22","JODHPUR","1443445","36","142376","0","1164","55","140999","213"
"23","KARAULI","244967","1","8971","0","85","0","8884","2"
