"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22460","","5235","","27695",""
"2","Total Active Cases","333 
(1.5%)","","83 
(1.6%)","","416 
(1.5%)",""
"3","Total Cured/ Discharged","21959 
(97.8%)","","5092                                  
(97.3%)","","(97.7%)",""
"4","Total Died","168 
(0.75%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","1","","22",""
"6","Total Positive cases in Home Isolation","191","","82","","273",""
"7","COVID Care Centre","121","","00","","121",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","1068","","281","","1349",""
"10","No. of Samples Positive (Today)","46","","8","","54",""
"11","No. of Samples Negative (Today)","1019","","273","","1292",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","986 
        00 
        00 
        80 
       1066"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(16/01/2022)","","Test Done Today 
(17/02/2022)","","Cumulative"
"","","a)  RTPCR","292968","","1129","","294097"
"","","b)  TRUENAT","12021","","19","","12040"
"","","c)  RAT","345529","","195","","345724"
"","","d)  CBNAAT","744","","06","","750"
"","","TOTAL","651262","","1349","","652611"
