"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19333","","3876","","23209",""
"2","Total Active Cases","635 
(3.3%)","","106 
(2.7%)","","741 
(3.2%)",""
"3","Total Cured/ Discharged","18534 
(95.9%)","","3712                                  
(95.8%)","","(95.9%)",""
"4","Total Died","164 
(0.85%)","","58 
(1.5%)","","222 
(0.96%)",""
"5","Total Positive cases admitted in COVID 
Hospital","23","","00","","23",""
"6","Total Positive cases in Home Isolation","458","","106","","564",""
"7","COVID Care Centre","92","","0","","92",""
"8","Facility Isolation","62","","0","","62",""
"9","No. of Samples Tested (Today)","626","","329","","955",""
"10","No. of Samples Positive (Today)","90","","40","","130",""
"11","No. of Samples Negative (Today)","534","","289","","823",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","340 
          00 
      00 
          87 
          427"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(14/01/2022)","","Test Done Today 
(15/01/2022)","","Cumulative"
"","","a)  RTPCR","262603","","885","","263488"
"","","b)  TRUENAT","11372","","11","","11383"
"","","c)  RAT","341141","","59","","341200"
"","","d)  CBNAAT","198","","00","","198"
"","","TOTAL","615314","","955","","616269"
