"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","778995","1","49709","0","446","2","49257","6"
"2","ALWAR","1577194","0","84449","0","320","2","84114","15"
"3","BANSWARA","310450","0","14762","0","106","3","14650","6"
"4","BARAN","228390","0","15245","0","64","0","15180","1"
"5","BARMER","400009","0","21454","0","205","0","21247","2"
"6","BHARATPUR","475785","0","31450","0","272","1","31174","4"
"7","BHILWARA","502079","0","38176","0","162","0","38014","0"
"8","BIKANER","727145","1","49888","0","586","1","49296","6"
"9","BUNDI","228158","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","447887","0","29374","0","140","1","29223","11"
"11","CHURU","428786","0","20819","0","114","3","20699","6"
"12","DAUSA","285585","0","15773","0","80","0","15693","0"
"13","DHOLPUR","275391","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326746","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420091","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","485885","1","22516","0","114","2","22392","10"
"17","JAIPUR","3331001","12","274364","0","2111","26","272145","108"
"18","JAISALMER","241222","0","17036","0","68","0","16968","0"
"19","JALORE","440425","0","10545","0","78","0","10467","0"
"20","JHALAWAR","376856","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","489062","0","19158","0","181","0","18977","0"
"22","JODHPUR","1397029","3","141055","0","1164","1","139870","21"
"23","KARAULI","235673","0","8968","0","84","1","8884","0"
