"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","142","109919","124","107613","1","2280","26"
"2","SAS Nagar","259","95950","214","94747","0","1148","55"
"3","Jalandhar","98","78369","84","76784","0","1578","7"
"4","Patiala","199","62231","198","60770","0","1458","3"
"5","Amritsar","57","59452","53","57761","0","1682","9"
"6","Bathinda","37","50907","33","49811","0","1088","8"
"7","Hoshiarpur","50","40889","58","39790","0","1096","3"
"8","Gurdaspur","17","26956","15","26088","1","865","3"
"9","Pathankot","34","24568","38","24071","0","495","2"
"10","Fazilka","17","23415","29","22868","0","545","2"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22064","23","21475","1","583","6"
"13","Ropar","20","17958","17","17500","0","455","3"
"14","Ferozepur","12","17911","10","17370","0","537","4"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","23","16806","25","16466","0","338","2"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","24","13012","0","409","0"
"19","FG Sahib","8","11842","7","11487","0","354","1"
"20","Moga","3","10991","4","10735","1","255","1"
"21","Tarn Taran","4","10903","2","10507","0","394","2"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1047","760123","984","742234","4","17751","138"
