"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","464253","19453115"
"2","Total No. of patients tested Positive","1047","760123"
"3","No. of patients discharged","984","742234"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12413"
"6","Test conducted on the day","","12263"
"7","Positive cases on the day","","16"
"8","Number of active Cases","","138"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218596"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117171"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","24"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209864"
"18","Frontline Workers vaccinated with 2nd dose on the day","","97"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011369"
"20","Above 45 Vaccinated with 1st dose on the day","","1075"
"21","Total Above 45 Vaccinated with 1st dose","","8302675"
"22","Above 45 Vaccinated with 2nd dose on the day","","10295"
"23","Total Above 45 Vaccinated with 2nd dose","","7153892"
"24","18-44 years age group Vaccinated with 1st dose on the day","","3067"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12520358"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","21474"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9649878"
"28","15-17 years age group Vaccinated with 1st dose on the day","","763"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1060484"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3658"
"31","Total 15-17 years age group Vaccinated with 2nddose","","671402"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2044"
"33","Total 12-14 years age group Vaccinated with 1st dose","","536354"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2652"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","213677"
"36","Precautionary dose given on the day","","3442"
"37","Total Precautionary dose given","","599242"
"38","Total Vaccination 1st dose on the day","","4153"
"39","Total Vaccination 2nd dose on the day","","31890"
"40","Total Vaccination 1st and 2nd dose on the day","","36043"
