"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","133","2","0","15","102"
"2","ALWAR","156","4","0","32","121"
"3","BANSWARA","80","0","0","0","10"
"4","BARAN","178","0","0","0","4"
"5","BARMER","33","0","0","0","4"
"6","BHARATPUR","59","5","0","8","34"
"7","BHILWARA","115","0","0","0","70"
"8","BIKANER","184","4","0","2","28"
"9","BUNDI","39","3","0","0","14"
"10","CHITTORGARH","40","0","0","5","76"
"11","CHURU","60","0","0","0","2"
"12","DAUSA","47","1","0","16","63"
"13","DHOLPUR","79","0","0","0","7"
"14","DUNGARPUR","9","1","0","11","66"
"15","GANGANAGAR","8","1","0","2","6"
"16","HANUMANGARH","43","2","0","0","16"
"17","JAIPUR","1201","31","0","98","521"
"18","JAISALMER","27","0","0","0","2"
"19","JALORE","17","0","0","0","11"
"20","JHALAWAR","25","3","0","7","25"
"21","JHUNJHUNU","32","0","0","0","9"
"22","JODHPUR","247","6","0","24","169"
"23","KARAULI","52","0","0","1","8"
"24","KOTA","521","2","0","1","31"
"25","NAGAUR","181","20","0","12","52"
"26","PALI","107","0","0","11","49"
