"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23318","","5284","","28602",""
"2","Total Active Cases","59 
(0.25%)","","00 
(0%)","","59 
(0.21%)",""
"3","Total Cured/Discharged","23091 
(99%)","","5224 
(98.9%)","","28315 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","42","","00","","42",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","339","","80","","419",""
"10","No. of Samples Positive (Today)","14","","00","","14",""
"11","No. of Samples Negative (Today)","324","","80","","404",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","50 
39 
17 
03 
109"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(13/07/2022)","","Test Done Today 
(14/07/2022)","","Cumulative"
"","","a)RTPCR","329139","","270","","329409"
"","","b)TRUENAT","14487","","20","","14507"
"","","c)RAT","351525","","129","","351654"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","696256","","419","","696675"
