"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,400"
"2","Number of persons tested positive today in Tamil Nadu","643"
"3","Total Number of persons tested positive till date","35,61,453"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","23,505/ 
6,86,17,171@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","23,214/ 
6,74,06,493"
"6","No. of Male / Female / Transgender tested positive today","390/253/0"
"7","No. of Male / Female / Transgender tested positive till date","20,76,831/14,84,584/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","874/ 
35,17,020"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
