"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 30-06-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","857","",""
"","","2","Total Discharges","3923398","",""
"","","3","Today's Tests Conducted","25931","",""
"","","4","Total Tests Conducted","66988286","",""
"","","5","Today’s New Cases Reported (29.06.2022, 00:00 to 23:59)","1046","",""
"","","6","Total Active Cases","5896","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40075","",""
"","","9","Total Positive Cases","3969411","",""
"","","10","Positivity Rate for the day (29.06.2022, 00:00 to 23:59)","4.03%","",""
"","","11","*Weekly Total Positivity Rate","3.59%","",""
"","","12","Case Fatality Rate (CFR) for the day (29.06.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.05%","",""
"*From 24-06-2022 to 30-06-2022 
Particulars 
Today’s 
Cumulative 
5695* 
1136960 
A 
Total Passengers screened at Air ports 
           Date: 29-6-2022 
          
 
Date: 30-06-2022 
Page 1 of 8","","","","","",""
