"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","626528","19615397"
"2","Total No. of patients tested Positive","1325","760402"
"3","No. of patients discharged","1288","742538"
"4","Total Deaths reported","7","17753"
"5","Sample collected on the day","","9964"
"6","Test conducted on the day","","9872"
"7","Positive cases on the day","","11"
"8","Number of active Cases","","111"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218631"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117319"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210164"
"18","Frontline Workers vaccinated with 2nd dose on the day","","14"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012542"
"20","Above 45 Vaccinated with 1st dose on the day","","73"
"21","Total Above 45 Vaccinated with 1st dose","","8315172"
"22","Above 45 Vaccinated with 2nd dose on the day","","2123"
"23","Total Above 45 Vaccinated with 2nd dose","","7288115"
"24","18-44 years age group Vaccinated with 1st dose on the day","","585"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12561659"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4136"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9913609"
"28","15-17 years age group Vaccinated with 1st dose on the day","","255"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1076783"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","468"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","715916"
"32","12-14 years age group Vaccinated with 1st dose on the day","","362"
"33","Total 12-14 years age group Vaccinated with 1st dose","","577872"
"34","12-14 years age group Vaccinated with 2nddose on the day","","659"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","280891"
"36","Precautionary dose given on the day","","895"
"37","Total Precautionary dose given","","649181"
"38","Total Vaccination 1st dose on the day","","662"
"39","Total Vaccination 2nd dose on the day","","6275"
"40","Total Vaccination 1st and 2nd dose on the day","","6937"
