"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","175","109952","168","107657","2","2281","14"
"2","SAS Nagar","360","96049","327","94860","1","1149","40"
"3","Jalandhar","128","78399","108","76808","0","1578","13"
"4","Patiala","213","62244","211","60783","0","1457","4"
"5","Amritsar","80","59477","79","57787","0","1682","8"
"6","Bathinda","52","50921","48","49826","0","1088","7"
"7","Hoshiarpur","54","40894","64","39796","0","1096","2"
"8","Gurdaspur","20","26959","19","26092","1","865","2"
"9","Pathankot","44","24577","46","24079","0","495","3"
"10","Fazilka","27","23425","40","22879","0","545","1"
"11","Muktsar","7","22561","11","22021","0","539","1"
"12","Kapurthala","34","22069","31","21483","1","583","3"
"13","Ropar","30","17968","29","17512","0","455","1"
"14","Ferozepur","17","17916","18","17378","0","537","1"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","28","16811","28","16469","0","338","4"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","20","13422","25","13013","0","409","0"
"19","FG Sahib","12","11846","8","11488","0","354","4"
"20","Moga","6","10994","7","10738","1","255","1"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1325","760402","1288","742538","7","17753","111"
