"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22967","","5280","","28247",""
"2","Total Active Cases","02 
(0.01%)","","00 
(0%)","","02 
(0.01%)",""
"3","Total Cured/Discharged","22797 
(99.3%)","","5220 
(98.9%)","","28017 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","01","","00","","01",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","66","","10","","76",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","65","","10","","75",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","26 
00 
09 
03 
38"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(04/05/2022)","","Test Done Today 
(05/05/2022)","","Cumulative"
"","","a)RTPCR","320276","","48","","320324"
"","","b)TRUENAT","13725","","12","","13737"
"","","c)RAT","348292","","13","","348305"
"","","d)  CBNAAT","1089","","03","","1092"
"","","TOTAL","683382","","76","","683458"
