"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","659414","6","37900","0","410","2","37452","38"
"2","ALWAR","1322969","11","59772","0","307","0","59435","30"
"3","BANSWARA","255489","0","10005","0","104","0","9901","0"
"4","BARAN","178507","0","12000","0","61","0","11939","0"
"5","BARMER","343518","0","15586","0","186","0","15399","1"
"6","BHARATPUR","397167","0","19606","0","260","1","19345","1"
"7","BHILWARA","419370","3","29808","0","156","1","29633","19"
"8","BIKANER","619205","2","40445","0","546","1","39856","43"
"9","BUNDI","188197","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","378634","0","19809","0","139","0","19670","0"
"11","CHURU","342830","0","16724","0","108","0","16615","1"
"12","DAUSA","225375","2","13358","0","62","0","13294","2"
"13","DHOLPUR","234704","2","11012","0","48","0","10962","2"
"14","DUNGARPUR","262725","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","352903","6","19377","0","151","1","19210","16"
"16","HANUMANGARH","412293","0","16081","0","111","0","15965","5"
"17","JAIPUR","2655104","98","188806","0","1971","6","186222","613"
"18","JAISALMER","213582","0","13651","0","66","0","13584","1"
"19","JALORE","392217","0","10068","0","72","0","9996","0"
"20","JHALAWAR","311496","0","13614","0","187","0","13426","1"
"21","JHUNJHUNU","407317","1","14830","0","160","2","14665","5"
"22","JODHPUR","1195883","50","112537","0","1103","0","111340","94"
"23","KARAULI","188234","0","7156","0","70","0","7086","0"
