"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","222640","19211500"
"2","Total No. of patients tested Positive","349","759442"
"3","No. of patients discharged","277","741527"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","4633"
"6","Test conducted on the day","","7174"
"7","Positive cases on the day","","20"
"8","Number of active Cases","","167"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218534"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1116977"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","37"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209246"
"18","Frontline Workers vaccinated with 2nd dose on the day","","110"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009052"
"20","Above 45 Vaccinated with 1st dose on the day","","591"
"21","Total Above 45 Vaccinated with 1st dose","","8276700"
"22","Above 45 Vaccinated with 2nd dose on the day","","9019"
"23","Total Above 45 Vaccinated with 2nd dose","","6926633"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2043"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12451803"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","20542"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9172824"
"28","15-17 years age group Vaccinated with 1st dose on the day","","3224"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1013775"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","6292"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","568190"
"32","12-14 years age group Vaccinated with 1st dose on the day","","7699"
"33","Total 12-14 years age group Vaccinated with 1st dose","","402688"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","9085"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","43154"
"36","Precautionary dose given on the day","","5035"
"37","Total Precautionary dose given","","516954"
"38","Total Vaccination 1st dose on the day","","2642"
"39","Total Vaccination 2nd dose on the day","","29708"
"40","Total Vaccination 1st and 2nd dose on the day","","32350"
