"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","908074","19896946"
"2","Total No. of patients tested Positive","4236","763280"
"3","No. of patients discharged","3133","744383"
"4","Total Deaths reported","32","17778"
"5","Sample collected on the day","","11725"
"6","Test conducted on the day","","11323"
"7","Positive cases on the day","","131"
"8","Number of active Cases","","1119"
"9","No. of Patients on oxygen support","","33"
"10","Patients at critical care Level-3 facilities","","11"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","9"
"13","Total Healthcare Workers vaccinated with 1st dose","","218704"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117524"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","31"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210860"
"18","Frontline Workers vaccinated with 2nd dose on the day","","118"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014818"
"20","Above 45 Vaccinated with 1st dose on the day","","335"
"21","Total Above 45 Vaccinated with 1st dose","","8327994"
"22","Above 45 Vaccinated with 2nd dose on the day","","7209"
"23","Total Above 45 Vaccinated with 2nd dose","","7476655"
"24","18-44 years age group Vaccinated with 1st dose on the day","","871"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12597226"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14830"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10290392"
"28","15-17 years age group Vaccinated with 1st dose on the day","","641"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1088151"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2211"
"31","Total 15-17 years age group Vaccinated with 2nddose","","769851"
"32","12-14 years age group Vaccinated with 1st dose on the day","","890"
"33","Total 12-14 years age group Vaccinated with 1st dose","","597529"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2273"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","342128"
"36","Precautionary dose given on the day","","3542"
"37","Total Precautionary dose given","","748344"
"38","Total Vaccination 1st dose on the day","","1223"
"39","Total Vaccination 2nd dose on the day","","22188"
"40","Total Vaccination 1st and 2nd dose on the day","","23411"
