"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","67","109844","54","107543","1","2280","21"
"2","SAS Nagar","81","95772","48","94581","0","1148","43"
"3","Jalandhar","58","78334","34","76734","0","1578","22"
"4","Patiala","35","62072","25","60597","0","1458","17"
"5","Amritsar","18","59413","14","57722","0","1682","9"
"6","Bathinda","13","50884","14","49792","0","1088","4"
"7","Hoshiarpur","41","40879","41","39773","0","1096","10"
"8","Gurdaspur","9","26949","8","26081","1","865","3"
"9","Pathankot","20","24556","18","24051","0","495","10"
"10","Fazilka","8","23406","16","22855","0","545","6"
"11","Muktsar","6","22560","8","22018","0","539","3"
"12","Kapurthala","17","22050","13","21465","1","580","5"
"13","Ropar","4","17942","3","17486","0","455","1"
"14","Ferozepur","7","17906","6","17366","0","537","3"
"15","Mansa","1","17229","1","16837","0","392","0"
"16","Faridkot","11","16797","13","16454","0","338","5"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","13","13415","13","13001","0","409","5"
"19","FG Sahib","7","11841","2","11482","0","354","5"
"20","Moga","1","10988","2","10733","1","255","0"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","2","7500","8","7151","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","420","759512","342","741592","4","17748","172"
