"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","242805","19231665"
"2","Total No. of patients tested Positive","420","759512"
"3","No. of patients discharged","342","741592"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","10570"
"6","Test conducted on the day","","10270"
"7","Positive cases on the day","","37"
"8","Number of active Cases","","172"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218538"
"14","Frontline Workers vaccinated with 1st dose on the day","","10"
"15","Total Frontline Workers vaccinated with 1st dose","","1116998"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","50"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209337"
"18","Frontline Workers vaccinated with 2nd dose on the day","","154"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009359"
"20","Above 45 Vaccinated with 1st dose on the day","","640"
"21","Total Above 45 Vaccinated with 1st dose","","8278080"
"22","Above 45 Vaccinated with 2nd dose on the day","","11040"
"23","Total Above 45 Vaccinated with 2nd dose","","6947006"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2186"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12456772"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","25243"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9219904"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2627"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1020215"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","5312"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","580576"
"32","12-14 years age group Vaccinated with 1st dose on the day","","5558"
"33","Total 12-14 years age group Vaccinated with 1st dose","","416814"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","8544"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","62700"
"36","Precautionary dose given on the day","","5753"
"37","Total Precautionary dose given","","528070"
"38","Total Vaccination 1st dose on the day","","2839"
"39","Total Vaccination 2nd dose on the day","","36487"
"40","Total Vaccination 1st and 2nd dose on the day","","39326"
