"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40681","0","40313","1","0","367","0"
"2","Ballari","1","115515","2","113732","18","0","1763","2"
"3","Belagavi","0","100134","5","99116","15","0","1001","2"
"4","Bengaluru Rural","1","79276","1","78360","9","1","907","0"
"5","Bengaluru Urban","25","1781573","78","1763162","1450","0","16960","1"
"6","Bidar","0","29806","0","29382","0","0","420","4"
"7","Chamarajanagara","0","43617","0","43080","2","0","524","11"
"8","Chikkaballapura","0","55626","0","55163","3","0","459","1"
"9","Chikkamagaluru","0","57244","0","56837","1","0","406","0"
"10","Chitradurga","1","46341","6","46085","17","0","239","0"
"11","Dakshina 
Kannada","1","135483","4","133629","4","0","1840","10"
"12","Davanagere","0","57534","0","56911","0","0","623","0"
"13","Dharwada","0","84069","0","82678","0","0","1384","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143859","0","142550","0","0","1307","2"
"16","Haveri","0","26839","0","26170","0","0","669","0"
"17","Kalaburagi","1","76603","0","75713","10","0","880","0"
"18","Kodagu","0","49264","1","48911","0","0","352","1"
"19","Kolara","2","62992","0","62323","5","0","664","0"
"20","Koppala","0","41281","0","40743","0","0","538","0"
"21","Mandya","0","101483","0","100771","1","0","711","0"
"22","Mysuru","0","229455","1","226890","7","0","2558","0"
"23","Raichuru","0","45448","0","45083","1","0","364","0"
"24","Ramanagara","2","29803","4","29448","8","0","347","0"
"25","Shivamogga","0","83323","0","82181","13","0","1128","1"
"26","Tumakuru","0","159839","1","158612","9","0","1218","0"
"27","Udupi","1","95604","2","95054","4","0","546","0"
"28","Uttara Kannada","0","71164","0","70353","2","0","809","0"
"29","Vijayapura","0","40997","0","40476","2","0","519","0"
"30","Yadagiri","0","29964","0","29749","3","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","35","3945436","105","3903756","1585","1","40053","42"
"*
   
       
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
Date: 30-03-2022 
Page 5 of 7","","","","","","","","",""
