"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","719413","385","45702","0","420","570","41868","3414"
"2","ALWAR","1419834","1192","78673","1","316","1408","70127","8230"
"3","BANSWARA","278935","212","12223","0","104","115","10695","1424"
"4","BARAN","199259","79","13670","0","62","118","12713","895"
"5","BARMER","377307","178","20437","0","193","294","18432","1812"
"6","BHARATPUR","436805","87","28555","0","263","841","24720","3572"
"7","BHILWARA","460386","437","35055","1","157","277","32203","2695"
"8","BIKANER","665651","150","47452","0","563","387","45195","1694"
"9","BUNDI","206285","25","8835","0","50","59","8369","416"
"10","CHITTORGARH","419751","237","26652","0","139","681","24690","1823"
"11","CHURU","380958","18","19074","0","109","201","18024","941"
"12","DAUSA","249818","36","15153","0","69","156","14390","694"
"13","DHOLPUR","254190","128","12663","0","49","139","11776","838"
"14","DUNGARPUR","304177","386","22707","1","133","484","20475","2099"
"15","GANGANAGAR","381870","719","24058","0","153","310","20634","3271"
"16","HANUMANGARH","451287","35","20474","1","113","378","18326","2035"
"17","JAIPUR","2955381","2075","247956","8","2027","3306","222456","23473"
"18","JAISALMER","229247","47","15527","1","68","94","14941","518"
"19","JALORE","417316","27","10372","0","75","16","10061","236"
"20","JHALAWAR","337299","173","16055","0","196","178","14966","893"
"21","JHUNJHUNU","441046","139","16843","2","167","160","15666","1010"
"22","JODHPUR","1284903","641","131323","1","1130","2200","124927","5266"
"23","KARAULI","209847","84","8182","1","74","122","7574","534"
