"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","761804","17","49618","0","444","57","49012","162"
"2","ALWAR","1521282","13","84340","0","320","37","83903","117"
"3","BANSWARA","297663","21","14605","0","106","10","14274","225"
"4","BARAN","218135","12","15206","0","64","21","15069","73"
"5","BARMER","394472","7","21424","0","205","5","21170","49"
"6","BHARATPUR","463919","9","31369","0","272","15","31039","58"
"7","BHILWARA","489172","9","38116","0","161","33","37906","49"
"8","BIKANER","707022","24","49763","0","583","15","49027","153"
"9","BUNDI","221406","0","9715","0","55","3","9649","11"
"10","CHITTORGARH","442836","8","29337","0","140","12","29100","97"
"11","CHURU","410474","12","20711","0","114","26","20488","109"
"12","DAUSA","273482","5","15754","0","78","10","15655","21"
"13","DHOLPUR","269870","6","13729","0","49","0","13637","43"
"14","DUNGARPUR","324100","4","25487","0","134","14","25323","30"
"15","GANGANAGAR","410237","10","28037","0","158","12","27696","183"
"16","HANUMANGARH","473744","10","22392","0","114","9","22192","86"
"17","JAIPUR","3198672","225","272753","0","2108","207","268623","2022"
"18","JAISALMER","238888","4","17019","0","68","11","16830","121"
"19","JALORE","434448","7","10523","0","78","0","10425","20"
"20","JHALAWAR","359294","19","17660","0","207","14","17401","52"
"21","JHUNJHUNU","472397","10","19088","0","179","25","18739","170"
"22","JODHPUR","1361887","55","140688","0","1162","32","139376","150"
"23","KARAULI","228051","5","8940","0","84","32","8789","67"
