"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1878619","20869083"
"2","Total No. of patients tested Positive","24461","784989"
"3","No. of patients discharged","24091","764365"
"4","Total Deaths reported","206","20511"
"5","Sample collected on the day","","6378"
"6","Test conducted on the day","","6235"
"7","Positive cases on the day","","31"
"8","Number of active Cases","","113"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218890"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117950"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211990"
"18","Frontline Workers vaccinated with 2nd dose on the day","","8"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019331"
"20","Above 45 Vaccinated with 1st dose on the day","","23"
"21","Total Above 45 Vaccinated with 1st dose","","8346960"
"22","Above 45 Vaccinated with 2nd dose on the day","","70"
"23","Total Above 45 Vaccinated with 2nd dose","","7653446"
"24","18-44 years age group Vaccinated with 1st dose on the day","","130"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662706"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","379"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10702175"
"28","15-17 years age group Vaccinated with 1st dose on the day","","36"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1115012"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","238"
"31","Total 15-17 years age group Vaccinated with 2nddose","","864678"
"32","12-14 years age group Vaccinated with 1st dose on the day","","314"
"33","Total 12-14 years age group Vaccinated with 1st dose","","680719"
"34","12-14 years age group Vaccinated with 2nddose on the day","","384"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","490718"
"36","Precautionary dose given on the day","","1777"
"37","Total Precautionary dose given","","1798827"
"38","Total Vaccination 1st dose on the day","","157"
"39","Total Vaccination 2nd dose on the day","","460"
"40","Total Vaccination 1st and 2nd dose on the day","","617"
