"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1900955*","20891419*"
"2","Total No. of patients tested Positive","24552","785080"
"3","No. of patients discharged","24151","764425"
"4","Total Deaths reported","207","20512"
"5","Sample collected on the day","","5050"
"6","Test conducted on the day","","5041"
"7","Positive cases on the day","","15"
"8","Number of active Cases","","143"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218892"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117953"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211998"
"18","Frontline Workers vaccinated with 2nd dose on the day","","3"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019347"
"20","Above 45 Vaccinated with 1st dose on the day","","2"
"21","Total Above 45 Vaccinated with 1st dose","","8347034"
"22","Above 45 Vaccinated with 2nd dose on the day","","77"
"23","Total Above 45 Vaccinated with 2nd dose","","7653728"
"24","18-44 years age group Vaccinated with 1st dose on the day","","85"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12663008"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","154"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10703200"
"28","15-17 years age group Vaccinated with 1st dose on the day","","9"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1115221"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","124"
"31","Total 15-17 years age group Vaccinated with 2nddose","","865942"
"32","12-14 years age group Vaccinated with 1st dose on the day","","108"
"33","Total 12-14 years age group Vaccinated with 1st dose","","681830"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","492754"
"36","Precautionary dose given on the day","","912"
"37","Total Precautionary dose given","","1804879"
"38","Total Vaccination 1st dose on the day","","89"
"39","Total Vaccination 2nd dose on the day","","237"
"40","Total Vaccination 1st and 2nd dose on the day","","326"
