"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","65","158663","320","157250","1093"
"2","Chittoor","244","249906","1110","246837","1959"
"3","East Godavari","117","295602","536","293776","1290"
"4","Guntur","73","179821","442","178119","1260"
"5","YSR Kadapa","26","116138","132","115362","644"
"6","Krishna","55","121318","627","119210","1481"
"7","Kurnool","15","124352","103","123395","854"
"8","Nellore","81","147549","428","146061","1060"
"9","Prakasam","33","138953","109","137714","1130"
"10","Srikakulam","47","123943","226","122924","793"
"11","Visakhapatnam","151","159969","1057","157769","1143"
"12","Vizianagaram","75","83441","325","82443","673"
"13","West Godavari","2","180293","191","178977","1125"
"","Total AP Cases","984","2079948","5606","2059837","14505"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","984","2082843","5606","2062732","14505"
