"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22146","","5133","","27279",""
"2","Total Active Cases","480 
(2.2%)","","190 
(3.7%)","","670 
(2.5%)",""
"3","Total Cured/ Discharged","21499 
(97.1%)","","4884                                  
(95.1%)","","(96.7%)",""
"4","Total Died","167 
(0.75%)","","59 
(1.1%)","","226 
(0.83%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","6","","15",""
"6","Total Positive cases in Home Isolation","314","","184","","498",""
"7","COVID Care Centre","133","","00","","133",""
"8","Facility Isolation","24","","00","","24",""
"9","No. of Samples Tested (Today)","876","","490","","1366",""
"10","No. of Samples Positive (Today)","97","","34","","131",""
"11","No. of Samples Negative (Today)","775","","456","","1231",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","646 
        00 
        00 
        00 
       646"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(09/01/2022)","","Test Done Today 
(10/02/2022)","","Cumulative"
"","","a)  RTPCR","285252","","1267","","286519"
"","","b)  TRUENAT","11906","","18","","11924"
"","","c)  RAT","344997","","65","","345062"
"","","d)  CBNAAT","555","","16","","571"
"","","TOTAL","642710","","1366","","644076"
