"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","773455","0","49697","0","446","2","49248","3"
"2","ALWAR","1559910","1","84429","0","320","8","84098","11"
"3","BANSWARA","306444","3","14749","0","106","5","14623","20"
"4","BARAN","225540","2","15243","0","64","0","15171","8"
"5","BARMER","398709","0","21452","0","205","0","21245","2"
"6","BHARATPUR","472044","0","31425","0","272","3","31144","9"
"7","BHILWARA","498459","0","38176","0","162","2","38012","2"
"8","BIKANER","721770","0","49878","0","586","1","49283","9"
"9","BUNDI","225809","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","446552","0","29362","0","140","0","29221","1"
"11","CHURU","420823","0","20807","0","114","5","20690","3"
"12","DAUSA","282276","0","15773","0","80","1","15690","3"
"13","DHOLPUR","273697","0","13748","0","49","1","13697","2"
"14","DUNGARPUR","325904","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","417667","0","28134","0","158","5","27966","10"
"16","HANUMANGARH","481824","0","22503","0","114","7","22355","34"
"17","JAIPUR","3292795","25","274178","0","2111","51","271805","262"
"18","JAISALMER","240693","0","17036","0","68","0","16968","0"
"19","JALORE","438753","6","10545","0","78","0","10459","8"
"20","JHALAWAR","370249","0","17706","0","207","1","17498","1"
"21","JHUNJHUNU","484397","0","19158","0","181","0","18974","3"
"22","JODHPUR","1386283","12","141009","0","1163","30","139771","75"
"23","KARAULI","233213","0","8967","0","84","0","8879","4"
