"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","782816","0","49722","0","446","0","49271","5"
"2","ALWAR","1592797","3","84456","0","320","0","84133","3"
"3","BANSWARA","314189","0","14763","0","106","0","14657","0"
"4","BARAN","231517","0","15247","0","64","0","15183","0"
"5","BARMER","401495","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476188","0","31450","0","272","0","31178","0"
"7","BHILWARA","504764","0","38178","0","162","0","38014","2"
"8","BIKANER","733834","1","49902","0","586","1","49314","2"
"9","BUNDI","230832","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","449992","0","29374","0","140","0","29234","0"
"11","CHURU","432059","0","20819","0","114","0","20705","0"
"12","DAUSA","287984","0","15775","0","80","0","15694","1"
"13","DHOLPUR","278373","1","13759","0","49","0","13702","8"
"14","DUNGARPUR","327211","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421393","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","487104","0","22516","0","114","0","22402","0"
"17","JAIPUR","3363977","23","274636","0","2111","8","272386","139"
"18","JAISALMER","241869","0","17036","0","68","0","16968","0"
"19","JALORE","442418","0","10545","0","78","0","10467","0"
"20","JHALAWAR","385700","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","490976","0","19158","0","181","0","18977","0"
"22","JODHPUR","1411516","1","141089","0","1164","0","139921","4"
"23","KARAULI","236240","0","8968","0","84","0","8884","0"
