"LABORATORY DATA","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","Genome Sequencing details till today","","","","","","","",""
"","","Alpha / B.1.1.7","","","","156","","","",""
"","","Beta / B.1.351","","","","08","","","",""
"","","Delta / B.1.617.2","","","","2937","","","",""
"","","Delta sub-lineages","","","","1350","","","",""
"","","Kappa / B.1.617.1","","","","160","","","",""
"","","ETA / B.1.525","","","","01","","","",""
"","","Omicron / B.1.1.529","","","","226","","","",""
"*Data received from SSU.   
 
Date: 06-01-2022  
 Page 2 of 8","","","","","","","","","",""
