"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","17,858"
"2","Number of persons tested positive today in Tamil Nadu","2,283"
"3","Total Number of persons tested positive till date","35,10,809"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,963/ 
6,75,87,205@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,061/ 
6,63,97,226"
"6","No. of Male / Female / Transgender tested positive today","1,297/986/0"
"7","No. of Male / Female / Transgender tested positive till date","20,47,080/14,63,691/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,707/ 
34,54,923"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
