"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227070","221192","5877","1"
"12","Nashik","472884","463966","8910","8"
"13","Ahmednagar","377725","370466","7242","17"
"14","Jalgaon","149529","146767","2761","1"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50087","670","0"
"17","Aurangabad","176544","172255","4284","5"
"18","Jalna","66329","65105","1224","0"
"19","Beed","109204","106318","2883","3"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58570","57288","1279","3"
"22","Hingoli","22175","21661","514","0"
"23","Nanded","102670","99964","2704","2"
"24","Osmanabad","75160","73020","2139","1"
"25","Amravati","105953","104323","1624","6"
"26","Akola","66183","64711","1470","2"
"27","Washim","45633","44989","641","3"
"28","Buldhana","92021","91185","836","0"
"29","Yavatmal","81981","80161","1820","0"
"30","Nagpur","576431","567206","9215","10"
"31","Wardha","65675","64267","1408","0"
"32","Bhandara","67943","66800","1142","1"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98832","97236","1592","4"
