"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","*1144896","*20135359"
"2","Total No. of patients tested Positive","9663","770237"
"3","No. of patients discharged","7172","747447"
"4","Total Deaths reported","57","20363"
"5","Sample collected on the day","","11934"
"6","Test conducted on the day","","11604"
"7","Positive cases on the day","","447"
"8","Number of active Cases","","2427"
"9","No. of Patients on oxygen support","","60"
"10","Patients at critical care Level-3 facilities","","9"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218776"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117666"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","17"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211362"
"18","Frontline Workers vaccinated with 2nd dose on the day","","76"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016967"
"20","Above 45 Vaccinated with 1st dose on the day","","440"
"21","Total Above 45 Vaccinated with 1st dose","","8335868"
"22","Above 45 Vaccinated with 2nd dose on the day","","3267"
"23","Total Above 45 Vaccinated with 2nd dose","","7568114"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1702"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12620685"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","7763"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10494554"
"28","15-17 years age group Vaccinated with 1st dose on the day","","534"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1100224"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1665"
"31","Total 15-17 years age group Vaccinated with 2nddose","","816904"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1291"
"33","Total 12-14 years age group Vaccinated with 1st dose","","632148"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2434"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","414380"
"36","Precautionary dose given on the day","","25019"
"37","Total Precautionary dose given","","947059"
"38","Total Vaccination 1st dose on the day","","2151"
"39","Total Vaccination 2nd dose on the day","","11123"
"40","Total Vaccination 1st and 2nd dose on the day","","13274"
