"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,924"
"2","Number of persons tested positive today in Tamil Nadu","442"
"3","Total Number of persons tested positive till date","35,72,366"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,146/ 
6,90,55,167@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,992/ 
6,78,40,361"
"6","No. of Male / Female / Transgender tested positive today","258/184/0"
"7","No. of Male / Female / Transgender tested positive till date","20,83,327/14,89,001/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","463/ 
35,29,404"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
