"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","647174","3","37864","0","410","2","37430","24"
"2","ALWAR","1306358","0","59742","0","307","1","59429","6"
"3","BANSWARA","248519","0","10005","0","104","0","9901","0"
"4","BARAN","173231","0","12000","0","61","0","11936","3"
"5","BARMER","340015","0","15585","0","186","0","15394","5"
"6","BHARATPUR","391498","0","19605","0","260","0","19344","1"
"7","BHILWARA","411814","0","29789","0","156","0","29627","6"
"8","BIKANER","611706","0","40402","0","546","0","39840","16"
"9","BUNDI","184808","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","373686","0","19809","0","139","0","19670","0"
"11","CHURU","333595","0","16723","0","108","0","16615","0"
"12","DAUSA","220305","0","13356","0","62","0","13292","2"
"13","DHOLPUR","230842","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","259254","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","348511","1","19362","0","151","0","19207","4"
"16","HANUMANGARH","402399","0","16076","0","111","0","15952","13"
"17","JAIPUR","2618545","9","188202","0","1971","7","186146","85"
"18","JAISALMER","211165","4","13650","0","66","0","13580","4"
"19","JALORE","387481","0","10068","0","72","0","9995","1"
"20","JHALAWAR","302095","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","397478","1","14826","1","159","0","14660","7"
"22","JODHPUR","1183370","1","112442","0","1103","0","111326","13"
"23","KARAULI","180805","0","7156","0","70","0","7086","0"
