"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1659239","20649703"
"2","Total No. of patients tested Positive","23573","784101"
"3","No. of patients discharged","22969","763243"
"4","Total Deaths reported","191","20496"
"5","Sample collected on the day","","5934"
"6","Test conducted on the day","","5958"
"7","Positive cases on the day","","44"
"8","Number of active Cases","","362"
"9","No. of Patients on oxygen support","","22"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218869"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117912"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211898"
"18","Frontline Workers vaccinated with 2nd dose on the day","","7"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019066"
"20","Above 45 Vaccinated with 1st dose on the day","","87"
"21","Total Above 45 Vaccinated with 1st dose","","8345592"
"22","Above 45 Vaccinated with 2nd dose on the day","","394"
"23","Total Above 45 Vaccinated with 2nd dose","","7646492"
"24","18-44 years age group Vaccinated with 1st dose on the day","","316"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12656720"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1020"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10679997"
"28","15-17 years age group Vaccinated with 1st dose on the day","","140"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113057"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","475"
"31","Total 15-17 years age group Vaccinated with 2nddose","","856932"
"32","12-14 years age group Vaccinated with 1st dose on the day","","488"
"33","Total 12-14 years age group Vaccinated with 1st dose","","671666"
"34","12-14 years age group Vaccinated with 2nddose on the day","","985"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","471591"
"36","Precautionary dose given on the day","","6404"
"37","Total Precautionary dose given","","1688276"
"38","Total Vaccination 1st dose on the day","","407"
"39","Total Vaccination 2nd dose on the day","","1423"
"40","Total Vaccination 1st and 2nd dose on the day","","1830"
