"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18365","","3726","","22091",""
"2","Total Active Cases","144 
(0.78%)","","65 
(1.74%)","","209 
(0.95%)",""
"3","Total Cured/ Discharged","18061 
(98.3%)","","3603                                  
(96.7%)","","(98.1%)",""
"4","Total Died","160 
(0.87%)","","58 
(1.6%)","","218 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","93","","65","","158",""
"7","COVID Care Centre","17","","0","","17",""
"8","Facility Isolation","14","","0","","14",""
"9","No. of Samples Tested (Today)","677","","153","","830",""
"10","No. of Samples Positive (Today)","08","","00","","08",""
"11","No. of Samples Negative (Today)","667","","153","","820",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","452 
           51 
       00 
           116 
          619"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(25/12/2021)","","Test Done Today 
(26/12/2021)","","Cumulative"
"","","a)  RTPCR","249021","","639","","249660"
"","","b)  TRUENAT","11221","","04","","11225"
"","","c)  RAT","337696","","187","","337883"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","598110","","830","","598940"
