"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","789452","0","49795","0","447","0","49328","20"
"2","ALWAR","1614053","0","84699","0","320","7","84336","43"
"3","BANSWARA","319333","2","14771","0","106","2","14661","4"
"4","BARAN","237866","0","15304","0","64","1","15233","7"
"5","BARMER","404121","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476295","0","31451","0","272","0","31179","0"
"7","BHILWARA","507839","2","38191","0","162","3","38024","5"
"8","BIKANER","745671","3","49964","0","586","2","49363","15"
"9","BUNDI","234993","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452619","0","29391","0","140","2","29249","2"
"11","CHURU","434994","0","20858","0","115","2","20738","5"
"12","DAUSA","293195","3","15828","0","81","2","15742","5"
"13","DHOLPUR","286279","0","13963","0","49","0","13912","2"
"14","DUNGARPUR","327832","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422915","0","28151","0","158","1","27992","1"
"16","HANUMANGARH","488804","0","22518","0","114","0","22404","0"
"17","JAIPUR","3434524","20","276236","0","2113","85","273945","178"
"18","JAISALMER","242562","0","17036","0","68","0","16968","0"
"19","JALORE","445740","0","10548","0","78","1","10470","0"
"20","JHALAWAR","400954","0","17747","0","207","0","17529","11"
"21","JHUNJHUNU","492926","0","19159","0","181","0","18977","1"
"22","JODHPUR","1424733","1","141148","0","1164","3","139973","11"
"23","KARAULI","239831","0","8968","0","84","0","8884","0"
